classname,post-release-bugs,pre-release-bugs,numberOfVersionsUntil:,numberOfFixesUntil:,numberOfRefactoringsUntil:,numberOfAuthorsUntil:,linesAddedUntil:,maxLinesAddedUntil:,avgLinesAddedUntil:,linesRemovedUntil:,maxLinesRemovedUntil:,avgLinesRemovedUntil:,ageWithRespectTo:,weightedAgeWithRespectTo:,cbo,dit,fanIn,fanOut,lcom,noc,numberOfAttributes,numberOfAttributesInherited,numberOfLinesOfCode,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,rfc,wmc,CvsEntropy,CvsWEntropy,CvsLinEntropy,CvsLogEntropy,CvsExpEntropy
org::apache::lucene::benchmark::byTask::feeds::BasicDocMaker,0,6,10,2,0,4,422,309,42.2,368,309,36.8,86.2857,8.87339,17,1,6,11,136,5,20,0,177,17,19,9,3,0,9,115,55,6.29405,0.124537,0.0672753,0.289447,0.131668
org::apache::lucene::benchmark::byTask::feeds::DemoHTMLParser,0,2,2,1,0,1,5,4,2.5,8,7,4,80.2857,10.5143,2,1,0,2,1,0,0,0,5,2,10,0,0,0,2,5,2,2.69351,0.0128559,0.00716586,0.074234,0.00708705
org::apache::lucene::benchmark::byTask::feeds::DirDocMaker,0,3,4,0,0,3,24,15,6,11,5,2.75,66.4286,11.1429,9,2,0,9,10,0,4,11,66,5,33,0,0,0,3,41,11,4.23089,0.0157352,0.017526,0.132413,0.0431241
org::apache::lucene::benchmark::byTask::feeds::DocData,0,1,1,0,0,1,1,1,1,1,1,1,80.2857,0,5,1,5,0,55,0,5,0,37,11,9,5,0,0,11,11,11,1.48053,0.000280668,0.00365544,0.0399966,0.00285194
org::apache::lucene::benchmark::byTask::feeds::EnwikiDocMaker,0,4,5,2,0,2,79,29,15.8,26,14,5.2,60.8571,21.9114,4,3,1,3,6,0,8,14,16,4,39,0,1,1,3,12,4,3.58153,0.0523894,0.0160755,0.11505,0.0434301
org::apache::lucene::benchmark::byTask::feeds::FileBasedQueryMaker,0,2,2,0,0,2,2,1,1,2,1,1,81,9,8,2,0,8,0,0,0,3,49,1,23,0,0,0,0,24,9,2.62755,0.00140593,0.00712044,0.0727472,0.00758919
org::apache::lucene::benchmark::byTask::feeds::LineDocMaker,0,7,7,3,0,2,86,49,12.2857,43,10,6.14286,63,24.4784,6,2,2,4,21,1,7,11,38,7,33,4,1,3,4,23,10,4.8362,0.0461243,0.0666614,0.258121,0.142609
org::apache::lucene::benchmark::byTask::feeds::NoMoreDataException,0,1,1,0,0,1,1,1,1,1,1,1,80.2857,0,6,1,6,0,0,0,0,0,0,1,27,0,0,0,1,1,0,1.48053,0.000280668,0.00365544,0.0399966,0.00285194
org::apache::lucene::benchmark::byTask::feeds::ReutersDocMaker,0,7,11,3,0,3,203,121,18.4545,224,121,20.3636,90.5714,12.6594,9,2,1,8,10,1,5,11,68,5,33,5,0,0,3,42,11,7.54956,0.143175,0.02366,0.216299,0.0409423
org::apache::lucene::benchmark::byTask::feeds::ReutersQueryMaker,0,2,5,0,0,4,121,107,24.2,164,107,32.8,90.5714,11.3022,6,2,0,6,3,0,1,3,48,3,23,1,2,0,0,35,7,4.46352,0.0390323,0.0113596,0.12145,0.010322
org::apache::lucene::benchmark::byTask::feeds::SimpleDocMaker,0,3,6,1,0,3,105,69,17.5,258,166,43,90.5714,13.0667,5,2,1,4,6,1,2,11,18,4,33,1,1,0,2,10,6,4.90018,0.174915,0.0121122,0.132328,0.00991837
org::apache::lucene::benchmark::byTask::feeds::SimpleQueryMaker,0,2,5,0,0,4,73,63,14.6,118,63,23.6,90.5714,11.6536,3,2,0,3,0,1,0,3,24,1,23,0,0,0,0,14,1,4.46352,0.0269716,0.0113596,0.12145,0.010322
org::apache::lucene::benchmark::byTask::feeds::SimpleSloppyPhraseQueryMaker,0,2,4,0,0,3,83,63,20.75,66,63,16.5,90.5714,13.0981,2,3,0,2,0,0,0,3,46,1,24,0,0,0,0,16,10,4.63879,0.0437266,0.011546,0.125521,0.00956453
org::apache::lucene::benchmark::byTask::feeds::SortableSimpleDocMaker,0,1,1,0,0,1,1,1,1,1,1,1,4.14286,0,5,3,0,5,3,0,1,12,16,3,36,1,1,0,1,14,3,1.23854,0.000990187,0.0519223,0.145898,0.106899
org::apache::lucene::benchmark::byTask::feeds::TrecDocMaker,1,6,10,3,0,3,326,221,32.6,297,221,29.7,86.2857,9.94741,13,2,0,13,36,0,9,11,153,9,33,3,0,0,3,71,27,7.61688,0.130565,0.0275865,0.227585,0.060062
org::apache::lucene::benchmark::byTask::programmatic::Sample,0,0,4,0,0,2,122,101,30.5,102,101,25.5,90.5714,10.959,8,1,0,8,1,0,0,0,56,2,9,0,1,0,1,18,2,3.6872,0.0346905,0.00860181,0.0980905,0.00568326
org::apache::lucene::benchmark::byTask::stats::Points,0,1,3,0,0,2,92,85,30.6667,344,258,114.667,90.5714,11.0512,11,1,10,1,15,0,3,0,23,6,9,3,1,0,5,12,6,3.28866,0.0605032,0.00774168,0.0876976,0.00527147
org::apache::lucene::benchmark::byTask::stats::Report,0,1,3,0,0,2,65,63,21.6667,65,63,21.6667,90.5714,11.0857,7,1,7,0,10,0,4,0,18,5,9,4,0,0,5,5,5,3.28866,0.0194204,0.00774168,0.0876976,0.00527147
org::apache::lucene::benchmark::byTask::stats::TaskStats,0,1,3,0,0,2,193,190,64.3333,193,190,64.3333,90.5714,11.2095,14,1,9,5,91,0,10,0,69,14,18,10,0,0,12,34,17,3.28866,0.0552344,0.00774168,0.0876976,0.00527147
org::apache::lucene::benchmark::byTask::tasks::AddDocTask,0,3,5,1,0,4,115,84,23,95,84,19,90.5714,12.1255,8,2,1,7,21,0,5,2,40,7,39,3,1,1,6,31,11,5.6765,0.0415052,0.0148701,0.155688,0.0145571
org::apache::lucene::benchmark::byTask::tasks::ClearStatsTask,0,1,3,0,0,2,45,43,15,45,43,15,90.5714,10.9968,3,2,0,3,3,0,0,2,10,3,39,0,0,0,2,6,3,3.28866,0.013807,0.00774168,0.0876976,0.00527147
org::apache::lucene::benchmark::byTask::tasks::CloseIndexTask,0,2,4,1,0,3,57,43,14.25,46,43,11.5,90.5714,19.8697,5,2,1,4,6,0,1,2,18,4,39,0,0,1,4,11,5,4.52366,0.0189962,0.0140815,0.12928,0.0247287
org::apache::lucene::benchmark::byTask::tasks::CloseReaderTask,0,1,3,0,0,2,46,43,15.3333,46,43,15.3333,90.5714,10.9658,3,2,0,3,1,0,0,2,11,2,39,0,0,0,2,6,3,3.28866,0.0139763,0.00774168,0.0876976,0.00527147
org::apache::lucene::benchmark::byTask::tasks::CommitIndexTask,0,1,1,0,0,1,1,1,1,1,1,1,4.14286,0,2,2,0,2,1,0,0,2,11,2,39,0,0,0,2,5,3,1.23854,0.000990187,0.0519223,0.145898,0.106899
org::apache::lucene::benchmark::byTask::tasks::CreateIndexTask,0,8,12,5,0,3,164,62,13.6667,117,56,9.75,90.5714,34.939,8,2,2,6,3,0,0,2,66,3,39,0,0,0,3,41,6,9.35438,0.0803641,0.0922037,3.49127,0.146405
org::apache::lucene::benchmark::byTask::tasks::DeleteDocTask,0,2,4,1,0,3,110,82,27.5,89,82,22.25,90.5714,11.0143,4,2,0,4,21,0,8,2,37,7,39,6,1,0,6,22,12,4.50164,0.0316107,0.0112521,0.121935,0.00950658
org::apache::lucene::benchmark::byTask::tasks::NewAnalyzerTask,0,2,1,1,0,1,1,1,1,1,1,1,59.5714,0,6,2,0,6,6,0,2,2,37,4,39,2,0,0,4,22,10,0.96755,0.00470229,0.00316392,0.0282847,0.00502553
org::apache::lucene::benchmark::byTask::tasks::NewRoundTask,0,1,3,0,0,2,45,43,15,45,43,15,90.5714,10.9968,3,2,0,3,3,0,0,2,10,3,39,0,0,0,2,6,3,3.28866,0.013807,0.00774168,0.0876976,0.00527147
org::apache::lucene::benchmark::byTask::tasks::OpenIndexTask,0,8,10,3,0,3,108,56,10.8,109,56,10.9,90.5714,21.6005,4,2,0,4,1,0,5,2,14,2,39,0,0,0,2,10,2,9.35438,0.0573069,0.0922037,3.49127,0.146405
org::apache::lucene::benchmark::byTask::tasks::OpenReaderTask,0,1,3,0,0,2,44,42,14.6667,44,42,14.6667,90.5714,10.9903,2,2,0,2,1,0,0,2,9,2,39,0,0,0,2,6,2,3.28866,0.0135264,0.00774168,0.0876976,0.00527147
org::apache::lucene::benchmark::byTask::tasks::OptimizeTask,0,2,4,1,0,3,52,39,13,42,39,10.5,90.5714,19.8901,3,2,0,3,6,0,1,2,16,4,39,0,0,1,4,10,4,4.52366,0.0174744,0.0140815,0.12928,0.0247287
org::apache::lucene::benchmark::byTask::tasks::PerfTask,0,3,6,1,0,4,284,230,47.3333,251,230,41.8333,90.5714,14.1177,43,1,37,6,210,20,7,0,93,21,18,5,0,0,15,54,31,5.70339,0.0798064,0.0178256,0.163469,0.0303132
org::apache::lucene::benchmark::byTask::tasks::ReadTask,1,3,7,1,0,3,312,144,44.5714,197,144,28.1429,90.5714,30.6049,12,2,2,10,120,4,0,2,116,16,39,0,0,0,11,69,31,5.76219,0.111712,0.0660038,0.275178,0.131628
org::apache::lucene::benchmark::byTask::tasks::ReadTokensTask,0,2,2,0,0,1,4,3,2,4,3,2,62,0.964286,11,2,0,11,10,0,7,2,66,5,39,2,1,4,4,37,13,1.17973,0.00553895,0.00374408,0.0341887,0.00558445
org::apache::lucene::benchmark::byTask::tasks::ReopenReaderTask,0,1,1,0,0,1,1,1,1,1,1,1,4.14286,0,3,2,0,3,1,0,0,2,13,2,39,0,0,0,2,8,3,1.23854,0.000990187,0.0519223,0.145898,0.106899
org::apache::lucene::benchmark::byTask::tasks::RepAllTask,0,1,3,0,0,2,79,41,26.3333,44,41,14.6667,90.5714,10.34,8,3,0,8,3,0,0,12,38,3,46,0,0,0,2,28,9,3.28866,0.0163767,0.00774168,0.0876976,0.00527147
org::apache::lucene::benchmark::byTask::tasks::RepSelectByPrefTask,0,1,3,0,0,2,76,42,25.3333,45,42,15,90.5714,10.3929,8,4,0,8,3,0,0,13,39,3,51,0,0,0,2,33,10,3.28866,0.0163189,0.00774168,0.0876976,0.00527147
org::apache::lucene::benchmark::byTask::tasks::RepSumByNameRoundTask,0,1,3,0,0,2,82,43,27.3333,46,43,15.3333,90.5714,10.3537,6,3,0,6,3,0,0,12,40,3,46,0,0,0,2,28,6,3.28866,0.0170226,0.00774168,0.0876976,0.00527147
org::apache::lucene::benchmark::byTask::tasks::RepSumByNameTask,0,1,3,0,0,2,82,43,27.3333,46,43,15.3333,90.5714,10.3537,7,3,1,6,3,0,0,12,39,3,46,0,0,0,2,27,6,3.28866,0.0170226,0.00774168,0.0876976,0.00527147
org::apache::lucene::benchmark::byTask::tasks::RepSumByPrefRoundTask,0,1,3,0,0,2,79,43,26.3333,46,43,15.3333,90.5714,10.3834,7,4,0,7,3,0,0,13,40,3,51,0,0,0,2,31,7,3.28866,0.0167688,0.00774168,0.0876976,0.00527147
org::apache::lucene::benchmark::byTask::tasks::RepSumByPrefTask,0,1,3,0,0,2,125,90,41.6667,93,90,31,90.5714,10.7291,8,3,1,7,10,2,1,12,45,5,46,0,0,0,4,33,9,3.28866,0.0298755,0.00774168,0.0876976,0.00527147
org::apache::lucene::benchmark::byTask::tasks::ReportTask,0,1,3,0,0,2,163,118,54.3333,45,44,15,90.5714,9.97546,14,2,6,8,21,4,10,2,71,7,39,0,0,0,1,57,18,3.28866,0.0279689,0.00774168,0.0876976,0.00527147
org::apache::lucene::benchmark::byTask::tasks::ResetInputsTask,0,0,2,0,0,2,49,48,24.5,49,48,24.5,90.5714,11.0554,2,2,0,2,3,1,0,2,10,3,39,0,0,0,2,5,3,2.58836,0.0150411,0.00607429,0.0689624,0.00411087
org::apache::lucene::benchmark::byTask::tasks::ResetSystemEraseTask,0,2,4,0,0,3,52,48,13,60,48,15,90.5714,11.467,2,4,0,2,1,0,0,2,7,2,44,0,0,0,2,4,2,4.08464,0.017208,0.0105405,0.111471,0.0103927
org::apache::lucene::benchmark::byTask::tasks::ResetSystemSoftTask,0,2,4,0,0,3,52,49,13,60,49,15,90.5714,11.5,2,3,0,2,1,1,0,2,7,2,42,0,0,0,2,4,2,4.08464,0.0173194,0.0105405,0.111471,0.0103927
org::apache::lucene::benchmark::byTask::tasks::SearchTask,0,1,4,0,0,3,60,55,15,57,55,14.25,90.5714,10.9262,2,3,1,2,15,1,0,2,18,6,55,0,0,0,6,8,6,3.28866,0.0174289,0.00774168,0.0876976,0.00527147
org::apache::lucene::benchmark::byTask::tasks::SearchTravRetHighlightTask,0,1,1,1,0,1,1,1,1,1,1,1,36.8571,0,8,4,0,8,28,1,4,3,55,8,64,0,0,0,7,41,18,1.23499,0.000798332,0.00633986,0.0415823,0.0194572
org::apache::lucene::benchmark::byTask::tasks::SearchTravRetLoadFieldSelectorTask,0,2,6,4,0,3,33,14,5.5,12,6,2,80.7143,4.0303,3,4,0,3,10,0,1,3,22,5,64,0,0,0,4,12,6,3.41583,0.0103702,0.0116627,0.100314,0.0234698
org::apache::lucene::benchmark::byTask::tasks::SearchTravRetTask,0,1,6,1,0,3,54,41,9,63,41,10.5,90.5714,10.6905,0,4,0,0,1,0,0,3,6,2,64,0,0,0,2,2,2,3.28866,0.0159804,0.00774168,0.0876976,0.00527147
org::apache::lucene::benchmark::byTask::tasks::SearchTravTask,0,1,6,1,0,3,87,57,14.5,61,57,10.1667,90.5714,10.5747,3,3,0,3,36,3,1,2,28,9,55,0,0,0,9,13,9,3.28866,0.0203864,0.00774168,0.0876976,0.00527147
org::apache::lucene::benchmark::byTask::tasks::SearchWithSortTask,0,1,1,0,0,1,1,1,1,1,1,1,4.14286,0,5,3,0,5,45,0,1,2,61,10,55,1,1,0,9,24,16,1.23854,0.000990187,0.0519223,0.145898,0.106899
org::apache::lucene::benchmark::byTask::tasks::SetPropTask,0,1,3,0,0,2,67,57,22.3333,59,57,19.6667,90.5714,10.887,5,2,0,5,6,0,2,2,19,4,39,2,0,0,4,14,6,3.28866,0.0184133,0.00774168,0.0876976,0.00527147
org::apache::lucene::benchmark::byTask::tasks::TaskSequence,0,6,12,3,0,4,430,295,35.8333,348,295,29,90.5714,18.2093,11,2,4,7,253,0,14,2,240,23,39,13,8,1,14,89,72,8.77321,0.148371,0.0275235,0.25187,0.0466191
org::apache::lucene::benchmark::byTask::tasks::WarmTask,0,1,4,0,0,3,69,60,17.25,62,60,15.5,90.5714,10.8944,0,3,0,0,15,0,0,2,18,6,55,0,0,0,6,6,6,3.28866,0.0191707,0.00774168,0.0876976,0.00527147
org::apache::lucene::benchmark::byTask::tasks::WriteLineDocTask,0,2,2,0,0,1,4,3,2,3,2,1.5,63,1.60714,10,2,0,10,21,0,7,2,73,7,39,4,1,1,6,41,17,1.74444,0.00337235,0.0054553,0.0503378,0.00788631
org::apache::lucene::benchmark::byTask::utils::Algorithm,0,4,6,1,0,3,307,258,51.1667,269,258,44.8333,90.5714,13.3076,14,1,2,12,6,0,1,0,204,4,9,1,1,0,3,92,44,4.52366,0.0865696,0.0140815,0.12928,0.0247287
org::apache::lucene::benchmark::byTask::utils::Config,0,6,10,0,0,4,422,324,42.2,342,324,34.2,90.5714,15.8812,23,1,14,9,66,0,6,0,182,12,9,6,4,0,8,120,37,7.7902,0.171935,0.0220847,0.218167,0.0274878
org::apache::lucene::benchmark::byTask::utils::FileUtils,0,0,2,0,0,2,55,54,27.5,55,54,27.5,90.5714,11.0805,2,1,1,1,0,0,0,0,18,1,9,0,0,0,1,7,8,2.58836,0.0167251,0.00607429,0.0689624,0.00411087
org::apache::lucene::benchmark::byTask::utils::Format,0,3,4,1,0,2,127,114,31.75,116,114,29,90.5714,13.667,7,1,4,3,6,0,2,0,21,4,9,2,0,0,4,18,5,4.67365,0.0619516,0.0134567,0.131351,0.01787
org::apache::lucene::benchmark::quality::QualityBenchmark,0,2,2,0,0,1,42,41,21,5,4,2.5,62.7143,22.3129,9,1,2,7,21,0,6,0,60,7,9,2,1,0,6,25,13,2.40151,0.0254453,0.00960402,0.0743622,0.0225175
org::apache::lucene::benchmark::quality::QualityQuery,0,1,1,0,0,1,1,1,1,1,1,1,62.7143,0,7,1,6,1,10,0,2,0,25,5,9,2,0,0,5,10,5,1.17486,0.000965682,0.00361796,0.0337529,0.00505055
org::apache::lucene::benchmark::quality::QualityStats,0,2,3,0,0,1,31,29,10.3333,3,1,1,62.7143,22.424,8,1,3,5,120,0,12,0,154,16,9,11,2,0,14,57,40,3.00249,0.0176672,0.0134887,0.096298,0.0366511
org::apache::lucene::benchmark::quality::trec::QueryDriver,0,1,2,0,0,2,3,2,1.5,2,1,1,51,7.42857,8,1,0,8,0,0,0,0,35,1,9,0,0,0,1,18,1,2.3444,0.00589857,0.0102046,0.0747136,0.0262005
org::apache::lucene::benchmark::quality::trec::Trec1MQReader,0,1,1,0,0,1,1,1,1,1,1,1,39.8571,0,3,1,0,3,1,0,1,0,33,2,9,1,0,0,2,16,4,1.22665,0.00108798,0.00598607,0.0406094,0.0174669
org::apache::lucene::benchmark::quality::trec::TrecJudge,0,1,1,0,0,1,1,1,1,1,1,1,62.7143,0,7,1,2,5,6,0,1,0,77,4,12,0,0,1,4,45,21,1.17486,0.000965682,0.00361796,0.0337529,0.00505055
org::apache::lucene::benchmark::quality::trec::TrecTopicsReader,0,1,1,0,0,1,1,1,1,1,1,1,62.7143,0,6,1,2,4,3,0,1,0,60,3,9,1,1,0,2,22,10,1.17486,0.000965682,0.00361796,0.0337529,0.00505055
org::apache::lucene::benchmark::quality::utils::DocNameExtractor,0,1,1,0,0,1,1,1,1,1,1,1,62.7143,0,5,1,2,3,1,0,2,0,13,2,9,2,0,0,2,5,3,1.17486,0.000965682,0.00361796,0.0337529,0.00505055
org::apache::lucene::benchmark::quality::utils::QualityQueriesFinder,0,1,1,0,0,1,1,1,1,1,1,1,62.7143,0,9,1,0,9,10,0,2,0,64,5,9,2,4,0,1,33,15,1.17486,0.000965682,0.00361796,0.0337529,0.00505055
org::apache::lucene::benchmark::quality::utils::SimpleQQParser,0,1,1,0,0,1,1,1,1,1,1,1,62.7143,0,4,1,2,2,1,0,3,0,12,2,10,2,0,1,2,8,3,1.17486,0.000965682,0.00361796,0.0337529,0.00505055
org::apache::lucene::benchmark::quality::utils::SubmissionReport,0,2,2,0,0,1,14,13,7,4,3,2,62.7143,21.2245,7,1,2,5,6,0,4,0,36,4,9,4,1,0,3,17,8,2.40151,0.00966953,0.00960402,0.0743622,0.0225175
org::apache::lucene::benchmark::standard::ReutersQueries,0,0,3,0,0,2,7,6,2.33333,7,6,2.33333,99,33.551,5,1,1,4,0,0,1,0,9,1,9,0,0,1,1,15,1,2.60998,0.0289249,0.00641575,0.0701584,0.00618888
org::apache::lucene::benchmark::standard::StandardBenchmarker,0,4,8,0,0,4,17,6,2.125,24,15,3,99,40.521,26,2,0,26,45,0,3,0,319,10,12,1,0,0,4,165,58,6.47189,0.0207855,0.0671365,0.292414,0.131498
org::apache::lucene::benchmark::standard::StandardOptions,0,0,5,0,0,3,3,1,0.6,11,6,2.2,99,19.619,1,1,1,0,28,0,4,0,24,8,9,4,0,0,8,8,8,5.25817,0.0125676,0.0131499,0.142268,0.0119555
org::apache::lucene::benchmark::stats::MemUsage,0,1,3,0,0,2,1,1,0.333333,2,1,0.666667,99,0,2,1,1,1,3,0,6,0,13,3,9,0,0,6,3,8,2,2.88097,0.00120628,0.0551741,0.187772,0.108062
org::apache::lucene::benchmark::stats::QueryData,0,1,3,0,0,2,1,1,0.333333,2,1,0.666667,99,0,4,1,2,2,6,0,5,0,26,4,9,0,0,5,4,10,10,2.88097,0.00120628,0.0551741,0.187772,0.108062
org::apache::lucene::benchmark::stats::TimeData,0,1,3,0,0,2,103,102,34.3333,104,102,34.6667,99,19.5229,5,1,2,3,36,0,6,0,42,9,9,1,0,5,8,20,11,4.3615,0.0298344,0.0588296,0.227768,0.110914
org::apache::lucene::benchmark::utils::ExtractReuters,0,1,3,0,0,3,2,1,0.666667,1,1,0.333333,99,8.64286,9,1,0,9,10,0,6,0,115,5,9,5,1,1,3,45,17,3.09513,0.000931311,0.00675431,0.080868,0.00370199
org::apache::lucene::benchmark::utils::ExtractWikipedia,0,3,5,0,0,2,92,88,18.4,150,145,30,66.4286,29.7003,11,1,0,11,15,0,4,0,103,6,9,1,1,1,5,49,20,4.75056,0.0839952,0.0194024,0.147995,0.0469234
org::apache::lucene::demo::DeleteFiles,0,1,7,1,0,5,46,18,6.57143,69,51,9.85714,349.571,154.186,4,1,0,4,1,0,0,0,32,2,9,0,1,0,1,14,3,4.92899,0.0119391,0.0090143,0.122947,0.0029026
org::apache::lucene::demo::FileDocument,0,1,9,1,0,5,47,13,5.22222,87,51,9.66667,349.571,149.696,6,1,3,3,1,0,0,0,26,2,9,0,1,0,1,10,2,2.88097,0.0058919,0.0551741,0.187772,0.108062
org::apache::lucene::demo::HTMLDocument,0,1,12,1,0,6,79,18,6.58333,114,51,9.5,349.571,155.192,7,1,1,6,6,0,1,0,52,4,9,0,1,1,3,25,4,4.65286,0.0771399,0.0571345,0.2271,0.108089
org::apache::lucene::demo::IndexFiles,0,1,9,1,0,7,83,39,9.22222,81,61,9,349.571,134.069,5,1,0,5,3,0,1,0,60,3,9,0,1,0,1,34,11,4.17914,0.011353,0.0114939,0.114259,0.0207742
org::apache::lucene::demo::IndexHTML,0,1,11,2,0,6,87,46,7.90909,121,51,11,349.571,164.714,10,1,0,10,3,0,4,0,88,3,9,4,2,0,1,53,23,6.17458,0.216048,0.0138113,0.15911,0.0205534
org::apache::lucene::demo::SearchFiles,0,2,13,2,0,8,338,151,26,174,51,13.3846,349.571,231.055,12,1,0,12,6,0,0,0,206,4,9,0,1,0,3,78,47,7.70696,0.0988963,0.0235861,0.212649,0.0547781
org::apache::lucene::demo::html::Entities,0,1,5,0,0,5,22,11,4.4,58,49,11.6,349.571,176.571,6,1,2,4,3,0,2,0,44,3,9,0,0,0,1,26,13,2.88097,0.00638699,0.0551741,0.187772,0.108062
org::apache::lucene::demo::html::HTMLParser,0,3,14,6,0,6,125,34,8.92857,100,28,7.14286,264.857,56.4354,15,1,3,13,496,0,40,39,574,32,9,19,11,21,17,177,179,6.53022,0.0788933,0.0426173,0.225197,0.114191
org::apache::lucene::demo::html::HTMLParserTokenManager,0,1,4,1,0,4,618,431,154.5,343,176,85.75,264.857,23.4621,4,1,1,3,1275,0,18,39,1504,51,9,2,45,7,5,238,408,1.41194,0.0023938,0.0315366,0.0941817,0.099295
org::apache::lucene::demo::html::ParseException,0,2,3,1,0,2,8,6,2.66667,8,6,2.66667,264.857,220.839,4,1,1,3,3,0,5,0,87,3,27,0,0,3,2,28,24,2.76873,0.00606085,0.037311,0.137154,0.113602
org::apache::lucene::demo::html::ParserThread,0,0,4,0,0,4,31,13,7.75,68,51,17,349.571,143.184,6,1,1,6,1,0,1,2,23,2,31,0,0,1,1,11,2,1.64243,0.00391152,0.00325183,0.0418737,0.00116335
org::apache::lucene::demo::html::SimpleCharStream,0,2,4,0,0,4,65,46,16.25,27,18,6.75,264.857,227.662,6,1,1,5,190,0,16,0,256,20,9,0,0,4,15,38,47,4.36338,0.0468221,0.0366038,0.166707,0.100452
org::apache::lucene::demo::html::Tags,0,0,5,1,0,4,40,15,8,65,50,13,254.429,30.4929,0,1,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,1.64243,0.00391152,0.00325183,0.0418737,0.00116335
org::apache::lucene::demo::html::Token,0,0,1,0,0,1,1,1,1,1,1,1,264.857,0,2,1,2,0,3,0,8,0,9,3,9,0,0,8,3,4,2,0,0,0,0,0
org::apache::lucene::demo::html::TokenMgrError,0,2,3,1,0,2,3,1,1,3,1,1,264.857,159.143,5,1,2,3,6,0,5,0,57,4,27,0,0,1,2,26,17,2.76873,0.00207117,0.037311,0.137154,0.113602
org::apache::lucene::document::AbstractField,0,4,6,1,0,3,349,274,58.1667,283,274,47.1667,121.571,103.953,16,2,13,3,231,3,16,0,182,22,41,0,0,0,20,57,60,5.34192,0.126545,0.103812,0.341011,0.279462
org::apache::lucene::document::DateField,0,0,13,1,0,7,95,19,7.30769,98,51,7.53846,368.143,130.263,7,1,2,5,21,0,1,0,40,7,9,1,1,0,6,24,12,4.07967,0.026554,0.00682189,0.0995781,0.00145655
org::apache::lucene::document::DateTools,0,2,7,1,0,4,106,76,15.1429,47,33,6.71429,213.429,87.9016,18,1,13,5,15,0,8,0,126,6,9,8,1,0,5,56,27,4.70954,0.462237,0.0124595,0.127247,0.021855
org::apache::lucene::document::Document,0,9,32,4,0,10,424,58,13.25,238,51,7.4375,368.143,168.949,179,1,174,5,120,0,6,0,138,16,18,5,0,1,16,99,46,9.3931,0.127039,0.0877331,0.400665,0.210511
org::apache::lucene::document::Field,1,7,46,7,0,10,991,136,21.5435,684,199,14.8696,368.143,189.416,14,3,11,3,15,0,0,16,49,6,104,0,0,0,6,13,17,16.2091,0.427376,0.111507,0.585738,0.232305
org::apache::lucene::document::FieldSelectorResult,0,2,8,1,0,4,167,96,20.875,115,96,14.375,121.571,66.6801,1,1,1,0,3,0,8,0,16,3,18,1,1,0,2,5,7,8.13453,0.106547,0.0265863,0.231586,0.0568552
org::apache::lucene::document::LoadFirstFieldSelector,0,0,3,1,0,2,42,28,14,35,28,11.6667,121.571,67.619,1,2,1,0,1,0,0,0,3,2,19,0,0,0,2,2,1,2.29636,0.0151451,0.0137681,0.0789014,0.0493051
org::apache::lucene::document::MapFieldSelector,0,3,5,0,0,3,18,15,3.6,9,5,1.8,121.571,47.5873,2,2,2,0,1,0,1,0,9,2,19,0,0,1,2,5,4,4.88853,0.030974,0.0603946,0.242608,0.113451
org::apache::lucene::document::NumberTools,0,1,5,1,0,5,13,6,2.6,12,5,2.4,202.143,59.011,6,1,1,5,1,0,6,0,51,2,9,3,0,0,2,19,10,2.83909,0.00755549,0.00795341,0.0788386,0.011542
org::apache::lucene::document::SetBasedFieldSelector,0,0,3,1,0,2,73,59,24.3333,66,59,22,121.571,81.9765,5,2,5,0,1,0,2,0,14,2,19,2,0,0,2,4,4,2.29636,0.0275083,0.0137681,0.0789014,0.0493051
org::apache::lucene::index::BufferedDeletes,0,1,1,0,0,1,1,1,1,1,1,1,30,0,4,1,1,3,6,0,4,0,71,4,9,0,0,4,0,47,15,0.60098,0.00038181,0.00388466,0.0219358,0.0141336
org::apache::lucene::index::ByteBlockPool,0,3,3,0,1,1,16,11,5.33333,11,6,3.66667,30,11.0536,6,1,4,2,10,0,10,0,77,5,9,2,0,5,5,12,11,2.57416,0.016761,0.0270383,0.11388,0.103861
org::apache::lucene::index::ByteSliceReader,0,2,2,0,1,1,11,10,5.5,4,3,2,30,16.6234,7,2,5,2,55,0,8,0,96,11,33,0,0,8,10,23,17,1.39384,0.00375193,0.0161519,0.0643919,0.059927
org::apache::lucene::index::ByteSliceWriter,0,1,1,0,0,1,1,1,1,1,1,1,20.5714,0,2,1,1,1,15,0,4,0,45,6,9,3,0,1,6,10,10,1.18032,0.00168297,0.0108864,0.0494884,0.0439342
org::apache::lucene::index::CharBlockPool,0,2,2,0,1,1,8,7,4,8,7,4,30,16,4,1,2,2,3,0,7,0,21,3,9,1,0,6,3,6,4,1.39384,0.00401117,0.0161519,0.0643919,0.059927
org::apache::lucene::index::CheckIndex,2,9,14,3,0,2,699,298,49.9286,292,99,20.8571,50.2857,33.643,17,1,2,15,36,0,4,0,427,9,9,3,3,1,6,150,79,10.8724,0.532036,0.149002,3.64568,0.352548
org::apache::lucene::index::CompoundFileReader,0,4,22,4,0,9,307,110,13.9545,286,78,13,262.857,60.0861,8,2,4,4,91,0,5,2,97,14,27,5,0,0,14,41,23,8.43595,0.408934,0.0288185,0.240385,0.0637452
